87	1,8,32,34
80	1,5,7,12,17,26,33,50
64	1,24,28,30,32,42,47
35	1,17,34,36,38,42
72	1,13,18,33,38
49	1,22
57	1,7,9,14,15,18,20,49
95	1,2,3,4,23,50
85	1,2,18,36,40,42,43,46
18	2,14,17,19,39,40
7	2,10,16,23,25,27,30,35,36,39,48
32	2,5,16,19,36,41,47
93	2,10,18,26,30,43
16	2,5,8,12,14,20,21,35,48,50
86	2,8,39
28	2,3,6,8,13,27,44
29	2,16,20,22
27	2,6,9,17,37
71	2,9,28
25	2,16,22,47
58	2,18,27,49
91	2,11,25,35,41,49
43	2,8,14,27,28,36
94	3,5,10,15,19,21,25,41
3	3,10,20,23,26,43,46,48
62	3,6,9,32,43,49
44	3,5,16,33,38,39
84	3,9,13,33,34,39
22	3,6,7,38
34	3,32,39,41
83	4,10,13,18,37,46
89	4,9,13,31,35,38,39,40,42,46
96	4,17,25,38,45
9	4,10,17,21,32,38
68	4,5,6,9,50
36	4,6,10,18,32,36,42,43
21	4,6,30,33,37,39
53	4,7,12,18,22,47
69	4,11,18,22,23,26,30,32,35,49
5	4,8,24,33,39,41,43,48
15	4,5,7,39,43,46
13	5,17,42,45,47,50
98	5,16,20,22,25,26,32,38,39
23	5,16,17,18,19,24,25,34,39,48
78	5,12,13,20,27,32,33,39,44,45,47
55	5,8,17,22,25,27,28,32,38,39,42,48
14	5,12,18,36,39
77	5,27,28,42,47
92	5,9,30,36,42,50
99	6,11,36,40,49,50
51	6,8,12,24,26,28,29,36
88	6,12,14,19,21,28,31,37,49
38	6,17,27,30,40
26	6,15,24,30,35,46
81	6,11,20,21,25,30,32,41,45,47,49
8	6,16,17,42,47,48,49
19	6,10,24,36,45
50	6,7,14,18,24,26,34,41,42,45
90	7,27,37,40,47,50
63	7,8,11,15,36,38
1	7,11,16,23,31,33,34,37,38,42,48,49
20	7,14,15,29,30,42
46	7,9,13,35,37,47,50
4	7,8,30,43,49,50
47	7,14,17,18,31,35,42,44,48,50
39	7,8,13,18,19,25,48,49
65	7,22,29,30
40	8,11,13,16,21,22,27,28,50
37	8,38,40,44
11	9,28,34,47
30	10,27,40,43,46
41	10,13,15,33,49,50
54	10,14,17,29,48
82	10,11,27,32,38,44,48
48	10,15,25,40,46
52	11,12,28,32,40,45
24	11,13,19,20,25,26,31,38,41
73	12,23,31,33
100	12,17,19,24,25,26,29,33,45
59	12,35,43,44,46,47
17	12,13,18,21,36,42,43
31	12,19,22,26,28,38,41,43,48,49
67	12,24,32,35
66	14,17,19,24,29,42
6	14,15,19,36,39,48
12	14,16,29,30
42	15,31,34
97	16,17,30,43
2	16,22,23,25,26,34,43,45
10	18,40,43
79	18,23,25,30,39
74	19,20,21,30,31,37
60	22,29,35,50
70	23,24,30,33,44,47,50
45	23
61	23,26,33
33	26,31,34,36,47
75	27,39,48,50
56	27,28,30,42,45,49
76	28,35,40,44
